distance_pc;vale;value_err
0.0;792.8997802734375;120.0
0.11877924029767532;684.8575439453125;56.55728351290729
0.16797921255734533;622.4279174804688;27.111807572776872
0.23755848059535065;520.8973999023438;72.99958529419877
0.2655984556213844;507.4357604980469;56.71356079912127
0.33595842511469065;469.0468444824219;51.00575612813837
0.35633772089302596;415.97650146484375;88.65172816279444
0.3756129380851104;427.15020751953125;82.92056039329148
0.4282646413539269;413.22833251953125;73.38947565365724
0.4751169611907013;347.9125671386719;95.2999940565974
0.48973935387793704;434.3072204589844;121.9181694377934
0.5039376376720359;432.822265625;98.22331360699201
0.5311969112427688;408.6068115234375;105.80820834474517
0.5938962014883767;354.3941650390625;98.59863795332063
0.6056576640875729;327.5467224121094;110.86510842291636
0.6396457846692136;313.4881286621094;90.20642830215178
0.6719168502293812;293.7793884277344;84.40524920732122
0.6925960362820153;288.64599609375;64.9588361243103
0.7126754417860519;249.48484802246094;98.32287473071818
0.7225059122599876;246.95242309570312;103.67952708195335
0.7512258761702209;236.8382110595703;69.46545693386929
0.7605582324539054;247.14100646972656;62.55957512206365
0.7967953668641532;215.43917846679688;49.28828421580021
0.8314546820837273;257.5924377441406;26.248976914586596
0.8398960627867266;218.24620056152344;46.23172411291974
0.8565292827078538;183.07623291015625;40.642823614115756
0.8647259219323331;192.26361083984375;45.16619024459488
0.9045957437939822;160.30995178222656;45.75837739215083
0.9276955230393573;230.92218017578125;2.1853926180621563
0.9502339223814026;189.61904907226562;19.17644050290168
0.9576288504269481;179.6905517578125;51.15269917426156
0.9794787077558741;161.04713439941406;60.245828191279145
1.0078752753440718;179.7581024169922;41.13159942626953
1.0148502739693088;146.798583984375;2.5652008709695333
1.02177766001282;197.13040161132812;50.059898376464844
1.0623938224855376;116.12860107421875;68.6624984741211
1.069013162679078;192.24649047851562;62.271229750884956
1.0755917673108222;206.6244659423828;49.59364415946488
1.0950904865278925;183.07086181640625;46.06692015766303
1.1205611118482863;178.5281982421875;64.6134033203125
1.1268388142553312;134.7103729248047;28.778136707294827
1.1698398474971738;113.45819854736328;54.331298828125
1.1758544879014172;154.60360717773438;49.38759994506836
1.1877924029767533;205.93408203125;51.36976526326673
1.1937165913628671;91.30590057373047;78.33039855957031
1.2113153281751459;214.47019958496094;88.7677001953125
1.2229071265322837;205.15069580078125;62.58140182495117
1.24009167560327;123.59012603759766;32.34008697554689
1.262640643890136;85.47920227050781;73.33660125732422
1.2792915693384272;115.01370239257812;47.06060028076172
1.284793924061781;205.3813934326172;73.20539855957031
1.3065716432744285;150.43649291992188;87.71829986572266
1.3119595904350612;204.03985595703125;30.559341485882534
1.327992278106922;166.52639770507812;55.373600006103516
1.3438337004587626;155.3948974609375;105.1852035522461
1.3542917079935461;187.8612060546875;73.93229675292969
1.3851920725640305;202.49940490722656;61.468299865722656
1.4253508835721038;123.74220275878906;63.143798828125
1.4302914560415545;149.62879943847656;50.29025857382198
1.4498854026881716;250.64869689941406;68.77030181884766
1.469218061633811;81.097900390625;71.85549926757812
1.4882996151090628;227.73089599609375;62.462799072265625
1.5024517523404417;101.69100189208984;97.6104965209961
1.5118129130161078;148.64280700683594;88.25650024414062
1.5211164649078108;368.7461853027344;79.68160247802734
1.5486918180734968;206.7924041748047;61.51020050048828
1.5847127218437214;115.55870056152344;72.92859649658203
1.5980112435619513;172.7115020751953;100.68470001220703
1.6155723339588315;259.7889099121094;62.705101013183594
1.6671460827898377;117.14099884033203;70.46489715576172
1.6797921255734531;190.26771545410156;57.1892076247783
1.6881701931351487;333.78375244140625;11.565635132392211
1.7006599086140193;252.85960388183594;99.49530029296875
1.7130585654157076;172.5050048828125;59.490299224853516
1.7294518438646662;402.8157043457031;254.1428985595703
1.765780352019506;438.8503112792969;259.4206848144531
1.7816886044651299;238.61349487304688;65.28309631347656
